id,ime,dolzina,sirina,leto,uporabljenost,cena,lokacija
517178,Wim van der Valk 37 M Explorer,36.8,7.75,2015,Used Boat,12900000,Croatia
534942,ISA Yachts Isa 120 Sport,36.45,7.4,2017,Used Boat,9500000,Croatia
536075,Maiora 33 DP,33.0,6.76,2007,Used Boat,3600000,Croatia
524618,"San Lorenzo San Lorenzo 108""",32.92,7.32,2008,Used Boat,3990000,Croatia
495348,Ferretti Custom Line 108,32.9,7.75,2016,Used Boat,7800000,Croatia
306114,Sunseeker 105,32.0,6.3,2003,Used Boat,2500000,Croatia
220074,Sunseeker 30M Yacht,29.8,6.9,2011,Used Boat,4500000,Croatia
524924,Gustafsson & Andersson Varvs 30m,29.5,5.66,1966,Used Boat,600000,Croatia
523727,Gustafsson & Anderssons Vervs 30m,29.5,5.66,1966,Used Boat,600000,Croatia
477215,Gustafsson Anderssons Vervs Ab 30 m,29.5,5.66,1966,Used Boat,600000,Croatia
548634,Sunseeker 94 Yacht,28.14,6.3,2004,Used Boat,1490000,Croatia
304409,Sunseeker 28 Metre Yacht,28.14,6.4,2013,Used Boat,4233000,Croatia
463398,Selene 92 Explorer,28.02,7.24,2024,New Boat from Stock,5375000,Slovenia
504685,Conrad 91,27.93,7.48,2016,Used Boat,4900000,Croatia
524774,Dominator 86 S,27.2,6.6,2006,Used Boat,1500000,Croatia
521153,Oyster 885,27.08,6.33,2015,Used Boat,5450000,Slovenia
549371,Azimut Grande 27 Metri,27.0,6.59,2020,Used Boat,5900000,Croatia
486385,Battello AMORELLA,27.0,6.1,1953,Used Boat,470000,Croatia
509945,Pershing 88,26.96,6.23,2004,Used Boat,1300000,Croatia
499999,Azimut 27 Grande,26.78,6.59,2018,Used Boat,5700000,Croatia
347455,Sanlorenzo 88,26.75,6.75,2008,Used Boat,3200000,Croatia
460713,Raised Pilothouse,25.5,6.6,2023,New Boat on Order,3997000,Slovenia
531499,Sanlorenzo 82,25.0,6.0,2000,Used Boat,749000,Croatia
525839,Princess Y75,24.8,5.76,2019,Used Boat,3490000,Croatia
510840,Cormorant COR780,24.4,6.25,2023,New boat preordered,2090000,Slovenia
516159,Oceanco 25M - REFIT !!,24.3,6.3,1995,Used Boat,1800000,Croatia
463396,Selene 78 Explorer,23.96,6.56,2024,New Boat from Stock,3863000,Slovenia
487336,Numarine 26 XP - 2018,23.95,6.6,2018,Used Boat,3780000,Croatia
515121,Sanlorenzo 82,23.9,6.1,2000,Used Boat,749000,Croatia
510812,Pershing 80,23.9,5.5,2010,Used Boat,2450000,Croatia
284556,Bandido Yachts 75,23.67,6.6,2012,Used Boat,1850000,Croatia
530237,"Mochi Craft 22,5 Axis",23.6,6.6,2003,Used Boat,770000,Croatia
525730,Nautor Swan SWAN 77 RS,23.47,5.9,1997,Used Boat,1350000,Croatia
465804,Selene 72' Explorer,23.11,5.92,2024,New Boat from Stock,3115000,Slovenia
536477,Dominator 780S,23.1,6.0,2009,Used Boat,1795000,Croatia
538751,Elegance 76,23.0,5.7,2002,Used Boat,590000,Croatia
543047,Elegance New Line 76,23.0,5.7,2002,Used Boat,660000,Croatia
537309,Absolute Navetta 75,22.82,5.61,2024,New Boat on Order,4618370,Croatia
550881,Sunseeker Manhattan 73,22.6,5.74,2012,Used Boat,1980000,Croatia
531295,"Mochi Craft MOCHI 22,50 AXIS",22.5,6.6,2003,Used Boat,860000,Croatia
508550,Bruce Roberts 65,22.44,5.06,1993,Used Boat,280000,Croatia
419694,Bruce Roberts 65,22.44,5.06,1993,Used Boat,220000,Croatia
527758,Fairline Squadron 78 Custom,22.39,5.64,2013,Used Boat,1590000,Croatia
544031,Absolute Navetta 73,22.38,5.58,2018,Used Boat,3400000,Croatia
526390,Princess 72,22.35,5.49,2012,Used Boat,1795000,Croatia
510051,Cayman 70,22.2,5.45,2009,Used Boat,925000,Croatia
473802,Ferretti YACHTS 730,22.2,5.48,2003,Used Boat,800000,Croatia
539349,Sunseeker predator 72,22.0,5.4,2008,Used Boat,795000,Croatia
453583,CCYD 200,22.0,5.3,1990,Used Boat,580000,Croatia
288670,Wooden Passenger Motor Sailer,22.0,5.0,1950,Used Boat,242000,Croatia
528732,Jongert 20S,21.95,5.4,2010,Used Boat,850000,Croatia
547160,Vitech Marine 76,21.8,5.8,2007,Used Boat,629000,Croatia
533033,Vitech 72 FLY - 5 KABINEN,21.8,5.8,2007,Used Boat,599000,Croatia
520916,Vitech Aquamarine 76,21.8,5.8,2007,Used Boat,629000,Croatia
516590,Fashion Yachts FASHION 68,21.8,5.45,2008,Used Boat,730000,Croatia
504992,Fashion 68,21.8,5.45,2008,Used Boat,730000,Croatia
463395,Selene 66,21.77,5.69,2024,New Boat from Stock,2034000,Slovenia
523387,Jaguar 72 HT - MODEL 2010,21.72,5.6,2010,Used Boat,599000,Croatia
471991,Dominator 68S,21.7,5.5,2004,Used Boat,680000,Croatia
483734,"LEERANER 21,60 - STAHLJACHT - 1993",21.6,5.2,1993,Used Boat,499000,Croatia
545371,Almtrawler Delfino 65,21.55,6.2,2015,Used Boat,1750000,Croatia
537720,Monachus 70 FLY,21.5,5.8,2022,Used Boat,2100000,Croatia
521434,Fashion Yachts 68,21.5,5.62,2008,Used Boat,730000,Croatia
510838,Cormorant COR690,21.5,6.25,2023,New boat preordered,1450000,Slovenia
524559,Sanlorenzo 70,21.4,5.6,1993,Used Boat,269000,Croatia
550241,Abacus 70,21.37,5.48,2008,Used Boat,700000,Croatia
510710,Menorquin Sasga Yachts 68 Fb,21.3,5.8,2024,New boat preordered,2380830,Slovenia
471432,Aicon 64,21.3,5.31,2007,Used Boat,600000,Croatia
545067,Elegance Yachts 70,21.2,5.76,1998,Used Boat,500000,Croatia
518531,Elegance 70 FLY,21.2,5.76,1998,Used Boat,599000,Croatia
511360,Elegance 70,21.2,5.7,2006,Used Boat,809000,Croatia
552575,Azimut 68 S,21.17,5.07,2005,Used Boat,620000,Croatia
533016,Monachus 70 Sport top,21.1,5.8,2023,New boat preordered,2596000,Croatia
531705,Monachus 70,21.1,5.8,2023,New Boat on Order,2695000,Croatia
526208,Hanse 675,21.1,5.9,2018,Used Boat,1290000,Croatia
492336,Monachus Yachts - Monachus 70 Fly,21.1,5.8,2022,Display Model,2100000,Croatia
319515,Sunseeker Manhattan 63,21.09,5.13,2011,Used Boat,980000,Croatia
426358,Sessa C68,21.04,5.07,2012,Used Boat,1050000,Croatia
530213,Princess 67 FLY - BJ. 2008,21.0,5.23,2008,Used Boat,950000,Slovenia
515805,AICON Yachts Aicon 64 Fly,21.0,5.3,2009,Used Boat,689000,Croatia
364703,Selene 62,20.98,5.69,2024,New Boat from Stock,1828000,Slovenia
546669,Princess 67 FLY - BJ. 2006,20.9,5.23,2006,Used Boat,699000,Croatia
419192,Galeon 640 Fly NEW BOAT,20.8,5.0,2023,New Boat on Order,1867200,Slovenia
541746,Princess 67,20.75,5.23,2006,Used Boat,699000,Croatia
499575,Posillipo-Rizzardi TECHNEMA 65,20.5,5.7,1985,Used Boat,199000,Croatia
537406,Sunseeker Predator 64,20.4,4.95,2011,Used Boat,1230000,Croatia
519646,Sunseeker Predator 64,20.4,4.95,2011,Used Boat,750000,Croatia
524204,Princess V65,20.33,5.08,2009,Used Boat,825000,Croatia
239523,Dominator 65 Classic line,20.3,5.5,2002,Used Boat,475000,Croatia
511359,Ferretti YACHTS 670,20.24,5.38,2021,Used Boat,2440000,Croatia
526293,X-Yachts X-65,20.01,5.36,2010,Used Boat,1050000,Slovenia
550004,Canados 70,20.0,4.65,1984,Used Boat,120000,Croatia
515787,Tecnomarine T62,20.0,5.25,1989,Used Boat,239000,Croatia
510836,Cormorant COR66 RAV,19.95,5.42,2023,New boat preordered,1850000,Slovenia
552100,Sunseeker Manhattan 64,19.92,5.2,2000,Used Boat,450000,Croatia
549352,Horizon Elegance 64 1st owner Ralf Schumacher,19.9,5.6,2005,Used Boat,785000,Slovenia
373415,Selene 60 Explorer,19.83,5.44,2024,New Boat from Stock,1621000,Slovenia
373400,Selene 60,19.83,5.44,2024,New Boat from Stock,1541000,Slovenia
